link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,VDF_alpha1,VDF_beta1
3202,East State Street,347340018,992,1630,1,"LINESTRING (-76.4899151 42.4392773, -76.490484 42.439295, -76.4910276 42.4392892)",1,91.34,trunk,2,80,1,1800,auto,,0.15,4.0
3203,East State Street,347340018,1630,992,1,"LINESTRING (-76.4910276 42.4392892, -76.490484 42.439295, -76.4899151 42.4392773)",1,91.34,trunk,2,80,1,1800,auto,,0.15,4.0
3204,East State Street,347340018,992,934,1,"LINESTRING (-76.4899151 42.4392773, -76.489859 42.439276, -76.4898079 42.4392751, -76.4896927 42.4392756)",1,18.25,trunk,2,80,1,1800,auto,,0.15,4.0
3205,Stewart Avenue,347340022,877,1433,1,"LINESTRING (-76.4908122 42.450469, -76.4908563 42.4507156, -76.4909675 42.4515739, -76.4909693 42.4516776, -76.4909588 42.4517179, -76.4909343 42.4517681, -76.4908803 42.4518226, -76.4908183 42.4518596, -76.4907177 42.4518926, -76.4906083 42.4518986, -76.4904923 42.4518906, -76.4903873 42.4518786, -76.4902707 42.4518718, -76.4901563 42.4518726, -76.4900414 42.4518965, -76.4899438 42.451943, -76.4898883 42.4519846, -76.4898568 42.452017, -76.489844 42.4520462, -76.4898313 42.4520752, -76.4898275 42.4520966)",1,254.35,tertiary,5,48,1,900,auto,,0.15,4.0
3206,Stewart Avenue,347340022,1502,877,1,"LINESTRING (-76.4903491 42.4492908, -76.4903502 42.4493664, -76.4903562 42.449801, -76.4903605 42.4498707, -76.4903833 42.4499479, -76.4904189 42.4499936, -76.4904542 42.4500455, -76.4908122 42.450469)",1,141.10,tertiary,5,48,1,900,auto,,0.15,4.0
3207,Stewart Avenue,347340022,1433,877,1,"LINESTRING (-76.4898275 42.4520966, -76.4898313 42.4520752, -76.489844 42.4520462, -76.4898568 42.452017, -76.4898883 42.4519846, -76.4899438 42.451943, -76.4900414 42.4518965, -76.4901563 42.4518726, -76.4902707 42.4518718, -76.4903873 42.4518786, -76.4904923 42.4518906, -76.4906083 42.4518986, -76.4907177 42.4518926, -76.4908183 42.4518596, -76.4908803 42.4518226, -76.4909343 42.4517681, -76.4909588 42.4517179, -76.4909693 42.4516776, -76.4909675 42.4515739, -76.4908563 42.4507156, -76.4908122 42.450469)",1,254.35,tertiary,5,48,1,900,auto,,0.15,4.0
3208,Stewart Avenue,347340022,877,1502,1,"LINESTRING (-76.4908122 42.450469, -76.4904542 42.4500455, -76.4904189 42.4499936, -76.4903833 42.4499479, -76.4903605 42.4498707, -76.4903562 42.449801, -76.4903502 42.4493664, -76.4903491 42.4492908)",1,141.10,tertiary,5,48,1,900,auto,,0.15,4.0
3209,Feeney Way,347340033,1631,218,1,"LINESTRING (-76.4824857 42.4511189, -76.4825256 42.4510944, -76.4825955 42.4510496, -76.4826337 42.4510214, -76.4826719 42.450991, -76.4827184 42.4509474, -76.4827603 42.4509061, -76.4827844 42.4508798, -76.4828102 42.4508463, -76.4828312 42.4508128, -76.4828434 42.4507915, -76.4828548 42.4507691, -76.4828654 42.450744, -76.4828736 42.4507183, -76.4828954 42.4506281, -76.4829031 42.4505787, -76.4829052 42.4505221, -76.4829071 42.4504289, -76.482895 42.4502173, -76.4828714 42.4496852, -76.4828114 42.4484926, -76.4827936 42.4482225, -76.482778 42.4478998, -76.4827642 42.4476413, -76.4827574 42.4475771)",1,405.54,tertiary,5,40,1,900,auto,,0.15,4.0
3210,Feeney Way,347340033,218,1631,1,"LINESTRING (-76.4827574 42.4475771, -76.4827642 42.4476413, -76.482778 42.4478998, -76.4827936 42.4482225, -76.4828114 42.4484926, -76.4828714 42.4496852, -76.482895 42.4502173, -76.4829071 42.4504289, -76.4829052 42.4505221, -76.4829031 42.4505787, -76.4828954 42.4506281, -76.4828736 42.4507183, -76.4828654 42.450744, -76.4828548 42.4507691, -76.4828434 42.4507915, -76.4828312 42.4508128, -76.4828102 42.4508463, -76.4827844 42.4508798, -76.4827603 42.4509061, -76.4827184 42.4509474, -76.4826719 42.450991, -76.4826337 42.4510214, -76.4825955 42.4510496, -76.4825256 42.4510944, -76.4824857 42.4511189)",1,405.54,tertiary,5,40,1,900,auto,,0.15,4.0
3211,Tower Road,347340044,1011,1632,1,"LINESTRING (-76.471992 42.4475572, -76.4719386 42.4475561, -76.4714228 42.4475534, -76.4707723 42.4475573, -76.470006 42.447547, -76.4699607 42.4475477, -76.469869 42.447549)",1,174.21,tertiary,5,40,1,900,auto,,0.15,4.0
3212,Tower Road,347340044,365,100,1,"LINESTRING (-76.4797653 42.4476071, -76.4796493 42.4476088, -76.478648 42.4476004, -76.4779113 42.447594, -76.4770099 42.4475889, -76.4768723 42.4475881, -76.4766973 42.4475866, -76.4761078 42.447579, -76.4755122 42.4475775, -76.4744464 42.4475725)",1,436.44,tertiary,5,40,1,900,auto,,0.15,4.0
3213,Tower Road,347340044,100,101,1,"LINESTRING (-76.4744464 42.4475725, -76.4743769 42.4475712, -76.4737561 42.4475695)",1,56.64,tertiary,5,40,1,900,auto,,0.15,4.0
3214,Tower Road,347340044,101,1011,1,"LINESTRING (-76.4737561 42.4475695, -76.4726865 42.4475621, -76.4723159 42.4475595, -76.471992 42.4475572)",1,144.75,tertiary,5,40,1,900,auto,,0.15,4.0
3215,Tower Road,347340044,1632,1011,1,"LINESTRING (-76.469869 42.447549, -76.4699607 42.4475477, -76.470006 42.447547, -76.4707723 42.4475573, -76.4714228 42.4475534, -76.4719386 42.4475561, -76.471992 42.4475572)",1,174.21,tertiary,5,40,1,900,auto,,0.15,4.0
3216,Tower Road,347340044,100,365,1,"LINESTRING (-76.4744464 42.4475725, -76.4755122 42.4475775, -76.4761078 42.447579, -76.4766973 42.4475866, -76.4768723 42.4475881, -76.4770099 42.4475889, -76.4779113 42.447594, -76.478648 42.4476004, -76.4796493 42.4476088, -76.4797653 42.4476071)",1,436.44,tertiary,5,40,1,900,auto,,0.15,4.0
3217,Tower Road,347340044,101,100,1,"LINESTRING (-76.4737561 42.4475695, -76.4743769 42.4475712, -76.4744464 42.4475725)",1,56.64,tertiary,5,40,1,900,auto,,0.15,4.0
3218,Tower Road,347340044,1011,101,1,"LINESTRING (-76.471992 42.4475572, -76.4723159 42.4475595, -76.4726865 42.4475621, -76.4737561 42.4475695)",1,144.75,tertiary,5,40,1,900,auto,,0.15,4.0
