name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,402,213457993,,-76.5014175,42.4335180,,,,,
,403,213457996,,-76.5014570,42.4341810,,,,,
,404,268081465,,-76.5014583,42.4342533,,,,,
,405,213457990,,-76.5013983,42.4328254,,,,,
,406,6925787446,,-76.5013882,42.4320444,,,,,
,407,213458258,,-76.4582430,42.4749235,,,,,
,408,213458260,,-76.4569340,42.4749435,,,,,
,409,213458283,,-76.4803914,42.4348253,,,,,
,410,213458320,,-76.4784213,42.4362698,,,,,
,411,213458334,,-76.4825453,42.4361512,,,,,
,412,213458350,,-76.4816230,42.4366500,,,,,
,413,213458366,,-76.4786729,42.4370985,,,,,
,414,6279599501,,-76.4908641,42.4301819,,,,,
,415,213458709,,-76.4923332,42.4303044,,,,,
,416,213458695,,-76.4915726,42.4295450,,,,,
,417,213458688,,-76.4911920,42.4291410,,,,,
,418,213458835,,-76.4568324,42.4723002,,,,,
,419,213458867,,-76.4582040,42.4740185,,,,,
,420,213442091,,-76.4921090,42.4392740,,,,,
,421,213458971,,-76.4921760,42.4406010,,,,,
,422,213458976,,-76.4922060,42.4415060,,,,,
,423,3425350414,,-76.5055531,42.4294981,,,,,
,424,213460433,,-76.4457990,42.4722070,,,,,
,425,213460435,,-76.4502651,42.4721449,,,,,
,426,213460811,,-76.4980400,42.4426230,,,,,
,427,213460814,,-76.4981210,42.4441620,,,,,
,428,213435230,,-76.4548175,42.4828423,,,,,
,429,826215234,,-76.4572482,42.4853572,,,,,
,430,213462430,,-76.4998770,42.4541890,,,,,
,431,213462442,,-76.5006596,42.4543313,,,,,
,432,213462505,,-76.4774787,42.4494375,,,,,
,433,213454388,,-76.4796424,42.4495159,,,,,
,434,213462720,,-76.4978379,42.4527879,,,,,
,435,213462725,,-76.4978860,42.4535040,,,,,
,436,213463044,,-76.5246628,42.4566255,,,,,
,437,213463060,,-76.5241948,42.4568528,,,,,
,438,213463244,,-76.5072200,42.4100510,,,,,
,439,213463304,,-76.5135811,42.4102908,,,,,
,440,5834492248,,-76.5138327,42.4102395,,,,,
,441,213463825,,-76.4834890,42.4149760,,,,,
