  density,   flow,      speed,      queue
  -0.00000,  40.69872,  60.00144,  -0.00000
  -0.00000,  42.34693,  60.00055,  -0.00000
  -0.00000,  43.29176,  60.00000,  -0.00000
  -0.00000,  43.29540,  59.99998,  -0.00000
  -0.00000,  41.81054,  60.00057,  -0.00000
  -0.00000,  43.21323,  60.00071,  -0.00000
  -0.00000,  49.36861,  59.99951,  -0.00000
  -0.00000,  54.33627,  59.99776,  -0.00000
  -0.00000,  53.92774,  59.99638,  -0.00000
   0.00000,  46.42014,  59.99614,  -0.00000
   0.00000,  35.92235,  59.99731,  -0.00000
   0.00000,  27.50709,  59.99900,  -0.00000
   0.00000,  25.29522,  60.00048,  -0.00000
   0.00000,  29.65762,  60.00099,  -0.00000
   0.00000,  35.93630,  60.00102,  -0.00000
   0.00000,  42.59140,  60.00072,  -0.00000
  -0.00000,  42.91360,  60.00120,  -0.00000
  -0.00000,  41.86278,  60.00185,  -0.00000
  -0.00000,  44.30330,  60.00196,  -0.00000
  -0.00000,  47.66785,  60.00149,  -0.00000
   0.00000,  51.53253,  60.00064,  -0.00000
   0.00000,  54.28075,  60.00048,  -0.00000
   0.00000,  53.20907,  60.00060,  -0.00000
  -0.00000,  51.32423,  60.00118,  -0.00000
  -0.00000,  50.78478,  60.00140,  -0.00000
  -0.00000,  52.89977,  60.00078,  -0.00000
  -0.00000,  54.32387,  59.99963,  -0.00000
  -0.00000,  47.54668,  59.99901,  -0.00000
  -0.00000,  40.71092,  59.99922,  -0.00000
  -0.00000,  32.61204,  60.00030,  -0.00000
  -0.00000,  26.53717,  60.00179,  -0.00000
  -0.00000,  29.25152,  60.00207,  -0.00000
  -0.00000,  36.50323,  60.00125,  -0.00000
  -0.00000,  43.60837,  60.00007,  -0.00000
  -0.00000,  44.70109,  59.99915,  -0.00000
  -0.00000,  41.23700,  59.99910,  -0.00000
  -0.00000,  37.43677,  59.99962,  -0.00000
   0.00000,  35.33563,  60.00002,  -0.00000
   0.00000,  37.94735,  60.00005,  -0.00000
   0.00000,  43.24964,  60.00016,  -0.00000
   0.00000,  47.01757,  60.00044,  -0.00000
   0.00000,  48.39888,  60.00122,  -0.00000
  -0.00000,  50.84398,  60.00155,  -0.00000
  -0.00000,  52.48211,  60.00174,  -0.00000
  -0.00000,  55.20988,  60.00105,  -0.00000
   0.00000,  54.53582,  60.00294,  -0.00000
   0.00000,  50.18410,  60.00238,  -0.00000
   0.00000,  41.99829,  60.00303,  -0.00000
   0.00000,  32.17016,  60.00486,  -0.00000
   0.00000,  27.82469,  60.00646,  -0.00000
   0.00000,  29.62611,  60.00703,  -0.00000
   0.00000,  32.25252,  60.00656,  -0.00000
   0.00000,  34.41334,  60.00575,  -0.00000
   0.00000,  31.58347,  60.00548,  -0.00000
   0.00000,  23.88235,  60.00576,  -0.00000
   0.00000,  18.72352,  60.00673,  -0.00000
   0.00000,  18.00780,  60.00709,  -0.00000
   0.00000,  21.44017,  60.00673,  -0.00000
   0.00000,  27.22972,  60.00547,  -0.00000
   0.00000,  30.20717,  60.00433,  -0.00000
   0.00000,  30.51138,  60.00343,  -0.00000
   0.00000,  26.76780,  60.00333,  -0.00000
   0.00000,  23.23380,  60.00304,  -0.00000
   0.00000,  17.13074,  60.00254,  -0.00000
   0.00000,  15.76698,  60.00207,  -0.00000
   0.00000,  13.07075,  60.00248,  -0.00000
   0.00000,   9.65497,  60.00408,  -0.00000
   0.00000,   6.77994,  60.00573,  -0.00000
   0.00000,   8.44322,  60.00685,  -0.00000
   0.00000,  17.85595,  60.00671,  -0.00000
   0.00000,  26.09230,  60.00543,  -0.00000
   0.00000,  30.14067,  60.00406,  -0.00000
   0.00000,  30.85825,  60.00356,   0.00000
   0.00000,  25.50077,  60.00411,   0.00000
   0.00000,  22.20329,  60.00511,   0.00000
   0.00000,  25.65793,  60.00629,   0.00000
   0.00000,  32.59317,  60.00597,   0.00000
   0.00000,  39.35124,  60.00520,  -0.00000
